subid,seq,practice,test1,filler1,test2,filler2,test3,filler3,test4,filler4,test5,filler5,test6,filler6,test7,filler7,test8,filler8,test9,filler9,test10,filler10,test11,filler11,test12,filler12,test13,filler13,test14,filler14,test15,filler15,test16
6,6,y,y,n,y,n,y,n,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,y,y,n,y,n,y,n,y
3,3,y,y,y,y,y,y,y,y,n,y,n,y,n,y,n,y,y,y,y,y,n,y,n,y,n,NA,n,y,y,n,y,y
9,10,n,y,y,y,y,y,y,n,y,y,n,y,n,y,n,y,y,y,n,y,n,y,n,y,n,y,y,y,y,y,y,y
5,5,y,y,y,y,n,y,n,y,n,n,n,n,y,y,y,y,y,n,y,y,y,y,y,y,n,n,n,y,n,y,n,y
7,11,y,y,y,y,y,y,y,y,n,n,n,y,n,n,n,y,y,y,y,y,n,y,n,n,n,n,n,n,y,y,y,n
13,32,n,y,n,y,n,y,y,n,y,n,y,y,y,n,n,y,n,y,n,n,n,y,y,n,y,n,y,y,y,n,n,y
1,past1,n,y,n,y,y,n,y,n,y,y,y,y,n,n,n,n,y,y,n,n,y,y,n,n,NA,NA,NA,NA,NA,NA,NA,NA
11,17,n,y,n,y,y,n,y,n,y,y,y,y,n,n,n,n,n,n,n,n,n,y,n,y,y,y,y,n,y,y,y,n
2,past2,n,y,y,n,y,y,y,n,y,y,n,y,n,n,n,n,y,n,y,n,y,y,n,n,NA,NA,NA,NA,NA,NA,NA,NA
12,27,y,n,y,y,y,n,y,y,n,n,n,n,n,y,n,y,y,y,y,y,n,n,n,n,n,n,n,n,y,y,y,y
4,4,y,y,y,n,y,y,n,y,n,y,n,y,n,y,y,y,y,y,y,y,y,y,n,y,n,y,n,y,n,y,y,y
10,13,y,n,y,n,n,y,n,y,n,n,y,y,y,n,y,y,y,y,y,n,y,y,y,n,n,y,n,y,n,y,n,y
14,22,y,y,n,y,n,n,n,n,n,y,y,y,y,n,y,y,n,n,y,y,y,n,y,y,n,y,n,y,n,y,n,y
8,16,n,n,n,n,n,y,y,n,y,n,y,y,y,y,n,n,n,y,n,y,n,y,y,y,y,y,y,y,y,y,n,y
20,47,n,y,n,y,n,y,n,y,y,y,y,y,y,y,y,y,n,y,n,y,y,n,y,y,y,y,y,y,n,y,n,n
23,62,y,y,n,y,n,y,n,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,y,y,n,y,n,y,n,y
19,50,n,y,y,n,y,y,y,y,y,y,n,y,n,n,n,y,y,y,n,y,n,y,n,y,n,y,y,y,y,y,y,y
22,37,y,y,y,y,n,y,n,n,n,n,n,n,y,y,y,y,y,n,y,y,y,n,y,y,n,y,n,y,n,y,n,y
21,34,n,y,y,n,y,y,y,n,y,y,n,y,n,n,n,y,y,y,n,y,n,y,n,y,n,n,y,y,y,n,y,y
16,58,n,n,y,n,y,y,y,y,y,y,n,n,n,y,n,y,y,y,n,n,n,y,n,n,n,n,y,n,y,y,y,y
18,41,n,y,n,y,y,n,y,n,y,n,y,y,n,n,n,y,n,n,n,y,n,n,n,y,y,y,y,n,y,y,y,n
24,57,n,y,n,y,y,n,y,n,y,n,y,n,n,y,n,y,n,n,n,n,n,y,n,y,y,n,y,n,y,y,y,y
17,56,n,n,n,y,n,y,y,y,y,y,y,y,y,y,n,y,n,y,n,n,n,y,y,y,y,y,y,y,y,y,n,y
15,63,n,y,n,n,n,y,n,n,y,y,y,n,y,y,y,n,n,y,n,y,y,n,y,n,y,y,y,y,n,n,n,n